Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Correct Answer(s),Time Limit (sec) (Max: 300 seconds)
479,「中午去见朋友。」nghĩa là gì?,Buổi trưa đi gặp bạn.,Bạn mấy giờ mấy phút về?,"Người kia là giáo viên đại học, đúng không?",Anh ấy đi ngân hàng không?,1,30
480,「下午我去学校学习。」nghĩa là gì?,Bạn không phải là mẹ của tôi.,Tôi không vào trường gặp giáo viên.,Hôm nay có hai mươi người đi trường.,Buổi chiều tôi đi trường học tập.,4,30
481,「一个人去北京。」nghĩa là gì?,Hẹn gặp ngày mai!,Một mình đi Bắc Kinh.,"Ngày mai thứ Hai, bạn đi đâu?",Hôm nay tôi bao ăn!,2,30
482,「那是你名字吗？」nghĩa là gì?,Bắc Kinh lớn không?,Chữ Hán không khó.,Hôm nay tôi bao ăn!,Đó là tên bạn phải không?,4,30
483,「我明天去中国二十天。」nghĩa là gì?,Bắc Kinh lớn không?,Ngày mai tôi đi Trung Quốc hai mươi ngày.,"Tôi đã đi Bắc Kinh, Bắc Kinh rất lớn.",Công việc thật khó! Tôi nhức đầu quá!,2,30
484,「老师叫我去中国学习汉语。」nghĩa là gì?,Giáo viên bảo tôi đi Trung Quốc học tập tiếng Hán.,Trưa ngày mai bạn đi đâu ăn cơm?,Cô ấy đi Bắc Kinh mấy ngày?,"Hôm nay tôi làm việc, không đi gặp giáo viên.",1,30
485,「他是我中国朋友。」nghĩa là gì?,Buổi sáng tôi đọc sách.,Hôm nay có hai mươi người đi trường.,Ngày mai bạn đi ngân hàng làm việc không?,Anh ấy là bạn Trung Quốc của tôi.,4,30
486,「我的中文名字是明明。」nghĩa là gì?,"Tiếng Hán rất khó, tôi nhức đầu quá!","Anh ấy là giáo viên tiếng Nhật của bạn, đúng không?",Tên người bạn của bạn là gì?,Tên tiếng Trung của tôi là Minh Minh.,4,30
487,「去中国工作好吗？」nghĩa là gì?,Đó là sách tiếng Hán của bạn phải không?,Đi Trung Quốc làm việc tốt không?,Phát âm tiếng Trung của bạn tôi rất tốt.,Hôm nay anh ấy đi ngân hàng làm việc phải không?,2,30
488,「你中文名字是？」nghĩa là gì?,Anh ấy là bạn tôi.,Đó là tên bạn phải không?,Hôm nay mẹ rất nhức đầu!,Tên tiếng Trung của bạn là gì?,4,30
489,「我朋友中文发音很好。」nghĩa là gì?,Một mình đi Bắc Kinh.,Hôm nay là thứ mấy?,Bắc Kinh lớn không?,Phát âm tiếng Trung của bạn tôi rất tốt.,4,30
490,「妈妈今天头很大！」nghĩa là gì?,Hôm nay mẹ rất nhức đầu!,Đây là túi xách của bạn hả?,Thầy Bạch thứ năm vào trường không?,"Hôm nay sức khỏe tôi không tốt, không đi làm.",1,30
491,「今天有二十个人去学校。」nghĩa là gì?,Phát âm tiếng Trung của bạn tôi rất tốt.,Thứ mấy bạn đi ngân hàng?,Buổi chiều tôi đi trường học tập.,Hôm nay có hai mươi người đi trường.,4,30
492,「我有三十六个中国朋友。」nghĩa là gì?,Cuốn sách này tên là gì?,Tôi có ba mươi sáu người bạn Trung Quốc.,"Cái bánh mì này không ngon, tôi không ăn.",Phát âm tiếng Trung của bạn tôi rất tốt.,2,30
493,「汉语很难，我头大了！」nghĩa là gì?,Chủ nhật tôi không làm việc.,"Tiếng Hán rất khó, tôi nhức đầu quá!",Ngày mai tôi đi Trung Quốc hai mươi ngày.,Hôm nay mẹ rất nhức đầu!,2,30
494,「一个人有一个头。」nghĩa là gì?,Tôi đi ngân hàng.,Thứ mấy bạn về Bắc Kinh? Về mấy ngày?,Một người có một cái đầu.,Hôm nay mẹ rất nhức đầu!,3,30
495,「今天老子不去工作！」nghĩa là gì?,Hôm nay tôi không đi làm!,Tôi đi vào trường gặp giáo viên.,Ngày mai chủ nhật phải không?,Thầy Bạch thứ năm vào trường không?,1,30
496,「星期日银行关，学校也关。」nghĩa là gì?,Anh ấy là người Trung Quốc.,"Chủ nhật ngân hàng đóng, trường cũng đóng.",Hôm nay mẹ rất bận.,Buổi sáng tôi đọc sách.,2,30
497,「他是你的日语老师，对吗？」nghĩa là gì?,Hôm nay anh ấy đi ngân hàng làm việc phải không?,"Anh ấy là giáo viên tiếng Nhật của bạn, đúng không?",Ngày mai tôi rất bận.,Tôi học tiếng Hán.,2,30
498,「今天很忙，我头很大！」nghĩa là gì?,Cô ấy là bạn tốt của tôi.,Ngày mai chủ nhật phải không?,"Hôm nay rất bận, tôi nhức đầu quá!",Những người này không phải bạn tôi.,3,30
499,「那个人是大学老师，对吗？」nghĩa là gì?,Hẹn gặp ngày mai!,Hôm nay tôi không đi làm!,"Người kia là giáo viên đại học, đúng không?",Hôm nay tôi đi gặp mẹ.,3,30
500,「这是一本汉语书，不难。」nghĩa là gì?,"Đây là một cuốn sách tiếng Hán, không khó.",Một mình đi Bắc Kinh.,Bạn mấy giờ mấy phút về?,Hôm nay tôi không đi làm!,1,30
501,「你朋友的名字是？」nghĩa là gì?,Mấy ngày nay tôi rất bận.,Chủ nhật tôi không làm việc.,Tên người bạn của bạn là gì?,Đây là túi xách của bạn hả?,3,30
502,「老师一个人吃饭。」nghĩa là gì?,Bạn của anh ấy tên là Tạ Hữu Phân.,Bạn muốn ăn mì Trung Quốc không?,Giáo viên ăn cơm một mình.,Tiểu Minh là sinh viên đại học phải không?,3,30
503,「星期日中午你要去吃饭吗？」nghĩa là gì?,Trưa chủ nhật bạn có đi ăn cơm không?,"Đây là bố tôi, sức khỏe ông ấy rất tốt.",Đó là tên bạn phải không?,"Đây là một cuốn sách tiếng Hán, không khó.",1,30
504,「工作好难！我头大了！」nghĩa là gì?,"Tiếng Hán rất khó, tôi nhức đầu quá!","Hôm nay rất bận, tôi nhức đầu quá!",Công việc thật khó! Tôi nhức đầu quá!,Bạn tôi học tập phát âm tiếng Hán.,3,30
505,「你明天中午去哪吃饭？」nghĩa là gì?,Một tuần bạn đến trường mấy ngày?,Trưa ngày mai bạn đi đâu ăn cơm?,"Hôm nay tôi làm việc, không đi gặp giáo viên.",Bạn thứ mấy vào ngân hàng làm việc?,2,30
506,「妈妈叫我中午回去吃饭。」nghĩa là gì?,Giáo viên bảo tôi ngày mai đến trường.,Giáo viên bảo bạn ngày mai đến trường phải không?,Bố hỏi tôi ngày mai đi đâu làm việc?,Mẹ bảo tôi buổi trưa về ăn cơm.,4,30
507,「你要一些包子吗？」nghĩa là gì?,Anh ấy là người Trung Quốc.,Hôm nay tôi bao ăn!,Công việc thật khó! Tôi nhức đầu quá!,Bạn muốn một ít bánh bao không?,4,30
508,「今天吃饭我包！」nghĩa là gì?,Một mình đi Bắc Kinh.,Cái cặp sách này là của cô ấy phải không?,Trưa chủ nhật bạn có đi ăn cơm không?,Hôm nay tôi bao ăn!,4,30
509,「这个书包是她的吗？」nghĩa là gì?,Chủ nhật tôi không làm việc.,Bố bảo tôi đi Bắc Kinh học tiếng Hán.,Cái cặp sách này là của cô ấy phải không?,Hôm nay tôi bao ăn!,3,30
510,「这是你的包吗？」nghĩa là gì?,Thầy Bạch thứ năm vào trường không?,Hôm nay có hai mươi người đi trường.,Đây là túi xách của bạn hả?,Bạn là người nước nào?,3,30
511,「这些人不是我朋友。」nghĩa là gì?,Trưa chủ nhật bạn có đi ăn cơm không?,Hôm nay mẹ rất bận.,Những người này không phải bạn tôi.,Ngày mai tôi về trường.,3,30
512,「你要吃中国面条吗？」nghĩa là gì?,Bạn muốn ăn mì Trung Quốc không?,Bạn học tiếng Hán không?,Trung Quốc rất lớn.,Hôm nay là ngày 9 tháng 10.,1,30
513,「这本书的名字是？」nghĩa là gì?,Bạn mấy giờ mấy phút về?,"Hôm nay sức khỏe tôi không tốt, không đi làm.",Bạn học tiếng Hán không?,Cuốn sách này tên là gì?,4,30
514,「我不喝酒，谢谢。」nghĩa là gì?,"Tôi không uống rượu, cảm ơn.","Ngày ngày học tiếng Hán, tiếng Hán không khó.",Đó là sách tiếng Hán của bạn phải không?,Đây là mẹ tôi.,1,30
515,「这个面包三元五毛。」nghĩa là gì?,Trung Quốc rất lớn.,Thứ mấy bạn đi ngân hàng?,Anh ấy là người Trung Quốc.,Cái bánh mì này ba đồng năm hào.,4,30
516,「你几点几分回去？」nghĩa là gì?,Bạn mấy giờ mấy phút về?,Tôi không vào trường gặp giáo viên.,"Bố tôi rất khỏe, bố bạn có khỏe không?",Bắc Kinh lớn không?,1,30
517,「他朋友叫谢友分。」nghĩa là gì?,Bạn của anh ấy tên là Tạ Hữu Phân.,"Tôi không uống rượu, cảm ơn.",Đó là sách tiếng Hán của bạn phải không?,Tiểu Minh là sinh viên đại học phải không?,1,30
518,「那些人是中国人吧。」nghĩa là gì?,Những người kia là người Trung Quốc nhỉ.,Ngày mai bạn đi ngân hàng làm việc không?,Mẹ tôi hỏi giáo viên sức khỏe có tốt không?,"Đây là ngựa trắng, đúng không?",1,30
519,「他要吃面条，我要吃白饭。」nghĩa là gì?,"Anh ấy muốn ăn mì, tôi muốn ăn cơm trắng.",Cô ấy là bạn tốt của tôi.,Công việc thật khó! Tôi nhức đầu quá!,Bạn của anh ấy tên là Tạ Hữu Phân.,1,30
520,「他这个人不喝酒。」nghĩa là gì?,Người này không uống rượu.,Cô ấy là bạn tốt của tôi.,Giáo viên ăn cơm một mình.,Một mình đi Bắc Kinh.,1,30
521,「那是你的汉语书吗？」nghĩa là gì?,Đó là sách tiếng Hán của bạn phải không?,"Tôi không uống rượu, cảm ơn.",Những người này không phải bạn tôi.,Công việc thật khó! Tôi nhức đầu quá!,1,30
522,「这个面包不好吃，我不吃。」nghĩa là gì?,Hôm nay mẹ rất nhức đầu!,"Cảm ơn bạn, hôm nay tôi không đi làm.",Phát âm tiếng Hán không khó.,"Cái bánh mì này không ngon, tôi không ăn.",4,30
